id,isbn,title,author,publisher,image_url,content,genre_1,genre_2
1389,9788992036719,코끼리와 귀울음 :온다 리쿠 소설 ,온다 리쿠 [지음] ;권영주 옮김,비채,http://image.aladin.co.kr/product/286/25/cover/899203671x_1.jpg,"온다 리쿠의 본격 미스터리 작품집. 5년간에 걸친 연재 끝에 한 권의 책으로 묶었다. 표제작 '코끼리와 귀울음'을 포함하여 총 12편의 단편이 수록되어 있다. 전직 판사 출신인 세키네 다카오와 그 가족이 등장하는데, 이들 일가는 온다 리쿠의 다른 작품에서도 등장하는 인물들이다.",문학,추리/미스터리소설
1390,9788961960250,그림의 목소리 :그림이 들려주는 슬프고 에로틱한 이야기 ,사이드 지음 ;이동준 옮김,아트북스,http://image.aladin.co.kr/product/290/19/cover/8961960253_1.jpg,"사이드의 &lt;그림의 목소리&gt;는 바로 그림이 목소리를 얻었다면, 하는 가정에서 출발한다. 그림들은 자기의 이력을, 내밀한 비밀을 사람들에게 털어놓는다. 아름다운 얼굴에 어울리지 않게 추악한, 나도 모르게 눈물이 흐를 정도로 슬픈, 또 찌릿한 느낌이 등을 타고 내리는 것 같은 느낌이 들 정도로 에로틱한 이야기들을.",예술,미술
1391,9788925514093,(전략게임보다 더 전략적인) 게임 시나리오 쓰기 ,조은하 지음,랜덤하우스코리아,https://bookthumb-phinf.pstatic.net/cover/044/864/04486482.jpg?type=m1&udate=20120711,"21세기 보통 사람들을 위한 맞춤형 글쓰기 안내서이 시대에 적합한 새로운 글쓰기 모델을 제시하는 입문서『세상 모든 글쓰기』시리즈. 대입을 준비하는 수험생부터 일반 직장인까지, 누구나 쉽게 이해하고 실제에 적용할 수 있도록 구성한 실용적인 지침서이다. 세분화된 다양한 글쓰기를 주제로 삼아, 각... ",인문학,책읽기/글쓰기
1392,9788985127349,건축가 김정수 작품집 =Kim Jong Soo works ,"김성우,안창모 지음",공간사,http://image.aladin.co.kr/product/289/32/cover/8985127349_1.jpg,[머리말]이 책은 김정수와 그의 건축에 관심 있는 사람들에게 도움이 되기를 바라는 마음으로 그의 작품들을 모으고 그의 인생과 건축을 이해하는데 도움이 되는 자료들을 모아서 같이 펴내게 되었다. 이 책을 통해 그가 살았던 시대와 사회의 건축에 대하여 김정수는 어떻게 이해하고 어떻게 자신의 건축으로... ,예술,건축
1393,9788925531045,(영화보다 흥미진진한) 영화 리뷰 쓰기 ,김봉석 지음,랜덤하우스코리아,http://image.aladin.co.kr/product/286/63/cover/8925531046_1.jpg,"'세상 모든 글쓰기' 시리즈 &lt;영화 리뷰 쓰기&gt;편. 영화평론가 김봉석이 영화 리뷰의 정의에서부터, 좋은 리뷰어가 되기 위한 습관, 실전쓰기 및 기술향상 방법을 알려준다. 저자의 오랜 경험을 바탕으로 영화를 재미있게 보고, 작품의 의미와 가치를 올바로 전달할 수 있는 노하우를 소개한다.",예술,영화/드라마
1394,9788925530987,(전략게임보다 더 전략적인) 게임 시나리오 쓰기 ,조은하 지음,랜덤하우스코리아,http://image.aladin.co.kr/product/286/62/cover/8925530988_1.jpg,"'세상 모든 글쓰기' 시리즈 &lt;게임 시나리오 쓰기&gt;편. 시나리오 작가로서 수년간 교육 현장에서 활약해온 저자가 현장경험과 노하우를 바탕으로 게임 시나리오 쓰기의 해법을 제시한다. 실제 게임 기획의 순서를 반영한 실용적 차례, 현장에서 수집한 사례, 게임의 모든 것을 한눈에 아우르는 구성으로 이루어져 있다.",예술,영화/드라마
1395,9788972975854,건축의 이론과 역사 ,만프레도 타푸리 지음 ;김일현 옮김,동녘,http://image.aladin.co.kr/product/312/7/cover/8972975850_1.jpg,&lt;건축의 이론과 역사&gt;는 현대건축 이론과 비평분야에서 가장 깊이 있는 연구서 중 하나로 유럽의 건축 사상과 이론 분야에 가장 큰 영향을 미친 책으로 평가받고 있다. 이 책은 만프레도 타푸리가 33살이 되던 해인 1968년에 처음 세상에 소개되어 상당한 반향을 불러일으켰다.,예술,건축
1396,9788990247421,언어본능 :마음은 어떻게 언어를 만드는가? ,스티븐 핑커 지음 ;신효식 옮김,동녘사이언스,http://image.aladin.co.kr/product/296/23/cover/899024742x_2.jpg,"‘언어는 본능이다’라고 선언함으로써 언어가 ‘진화적 적응’의 산물임을 증명하는 책. 책머리에서 그는 “거미의 거미줄 치기는 어떤 천재 거미의 발명품이 아니며, 적절한 교육을 받거나 건축이나 건설업에 적성이 있어야 하는 것도 아니다. 거미는 거미의 뇌를 가지고 있으며, 이 뇌가 거미줄을 치도록 거미를 충동하고, 그 일에 집요하게 매달리게 만든다. 거미가 거미줄을 치는 것은 그 때문이다.”라고 쓰고 있다. 거미가 거미줄을 치는 것이 본능에 의한 것이듯, 인간이 언어를 전개하는 것이 본능이라는 것이다.",인문학,기호학/언어학
1397,9788952754134,"풍속화, 붓과 색으로 조선을 깨우다 :김홍도·신윤복·김준근 ","글: 서주희,[EBS] 화인제작팀",지식채널 ,https://bookthumb-phinf.pstatic.net/cover/052/798/05279899.jpg?type=m1&udate=20170919,"조선 후기 대표 풍속화가, 김홍도, 신윤복, 김준근의 그림과 생애를 통해 풍속화 속 숨은 이야기를 담은 책이다. EBS에서 방송되어 호평을 받았던 다큐멘터리로, 요즘 불어닥친 풍속화 열풍 속에 우리나라 대표 풍속화가들의 생애와 그들의 풍속화 속에 담긴 미학적 비밀을 밝혀내보자는 의도로 제작되었다. ",역사,조선사
1398,9788957862803,한국현대연극 100년 :공연사,제작: 연극과인간,한국연극협회,https://bookthumb-phinf.pstatic.net/cover/053/242/05324220.jpg?type=m1&udate=20100414,"[머리말]한국연극 100년을 기념하는 출판사업으로 모두 책 5권이 구성되었습니다. 근대연극사(1908~1945)와 현대연극사(1945~2008)를 다루는 '공연사'2권, '지역연극사' 1권, '인물연극사' 1권, 영문파 1권입니다. 이 중 세계에 한국연극을 알리기 위한 취지로 기획된 영문판은 책 4권의 내용을 요약... ",예술,연극
1399,9788957862810,한국현대연극 100년 :공연사,제작: 연극과인간,한국연극협회,http://image.aladin.co.kr/product/311/53/cover/8957862811_1.jpg,"[머리말]한국 현대연극 100년을 맞이하고, 앞으로의 100년을 내딛는 시점에서 우리는 연극이 걸어온 길을 돌아보며 미래를 계획하고 꿈꿔보고자 합니다. 연극사에 대한 성찰을 통해 앞으로 걸어갈 새로운 길을 내고자 하기 위해서입니다. 100년을 걸어온 연극사에 대한 성찰은 결국 한국연극의 현재적 의미를... ",예술,연극
1400,9788996202639,메이플스토리 =9탄 월드맵 /Maple story ,유앤유커뮤니케이션 [편],유앤유커뮤니케이션,http://image.aladin.co.kr/product/311/55/cover/8996202630_1.jpg,"유저들이 궁금해하는 '시간의 신전'과 2007년 여름 이후 등장한 사냥터 공략은 물론, 퀘스트 수행에 필요한 퀘스트맵까지 메이플월드의 모든 맵과 몬스터 정보를 수록한 가이드북. 육성의 베이스캠프이자 쉼터인 마을 정보부터 많은 유저들이 찾는 인기사냥터와 필자들이 추천하는 사냥터를 레벨대별로 분석했다. 또한, 몬스터도감에서는 몬스터의 레벨과 능력치, 드롭아이템 데이터를 제공한다.",IT,PC/게임/디지털 카메라
1401,9788961456777,소울링크 =하늘의 달 게임 판타지 장편소설.Soul link ,하늘의달,디앤씨미디어,https://bookthumb-phinf.pstatic.net/cover/053/351/05335185.jpg?type=m1&udate=20141122,세상에서 고립될 수밖에 없는 현실에서 탈피해&#x0D;자유를 만끽하고자 찾아들었던 게임 속 세계.&#x0D;세계 권위자마저 무릎 꿇린 오만한 자의 이야기가 시작된다.&#x0D;&#x0D;「패시브 마스터」보다 한 단계 업그레이드되었다!&#x0D;탄력 넘치는 박진감! 등골마저 찌릿한 쾌감!&#x0D;&#x0D;레벨 업이나... ,문학,판타지/환상문학
